NPM Package Name,Package Version (April),Package Version (February),License,Repository
graceful-fs, 1.2.3, 1.2.3, BSD, git://github.com/isaacs/node-graceful-fs.git
nan, 1.5.3, 1.5.3, MIT, git://github.com/rvagg/nan.git
exit, 0.1.2, 0.1.2, ----, git://github.com/cowboy/node-exit.git
escape-html, 1.0.1, 1.0.1, ----, https://github.com/component/escape-html.git
content-disposition, 0.5.0, 0.5.0, MIT, https://github.com/jshttp/content-disposition
cookie-signature, 1.0.6, 1.0.6, MIT, https://github.com/visionmedia/node-cookie-signature.git
etag, 1.5.1, 1.5.1, MIT, https://github.com/jshttp/etag
finalhandler, 0.3.4, 0.3.4, MIT, https://github.com/pillarjs/finalhandler
fresh, 0.2.4, 0.2.4, MIT, https://github.com/jshttp/fresh
merge-descriptors, 1.0.0, 1.0.0, MIT, https://github.com/component/merge-descriptors.git
methods, 1.1.1, 1.1.1, MIT, https://github.com/jshttp/methods
parseurl, 1.3.0, 1.3.0, MIT, https://github.com/expressjs/parseurl
path-to-regexp, 0.1.3, 0.1.3, ----, https://github.com/component/path-to-regexp.git
proxy-addr, 1.0.7, 1.0.7, MIT, https://github.com/jshttp/proxy-addr
range-parser, 1.0.2, 1.0.2, MIT, https://github.com/jshttp/range-parser
send, 0.12.2, 0.12.2, MIT, https://github.com/pillarjs/send
crc, 3.2.1, 3.2.1, MIT, git://github.com/alexgorbatchev/node-crc.git
forwarded, 0.1.0, 0.1.0, MIT, https://github.com/jshttp/forwarded
ipaddr.js, 0.1.9, 0.1.9, MIT, git://github.com/whitequark/ipaddr.js
cookies, 0.5.0, 0.5.0, MIT, https://github.com/expressjs/cookies
json5, 0.2.0, 0.2.0, ----, https://github.com/aseemk/json5.git
keygrip, 1.0.1, 1.0.1, ----, git://github.com/expressjs/keygrip.git
basic-auth, 1.0.0, 1.0.0, MIT, https://github.com/visionmedia/node-basic-auth
passport-oauth1, 1.0.1, 1.0.1, ----, git://github.com/jaredhanson/passport-oauth1.git
passport-oauth2, 1.1.2, 1.1.2, ----, git://github.com/jaredhanson/passport-oauth2.git
passport-strategy, 1.0.0, 1.0.0, ----, git://github.com/jaredhanson/passport-strategy.git
oauth, 0.9.12, 0.9.12, ----, http://github.com/ciaranj/node-oauth.git
utils-merge, 1.0.0, 1.0.0, ----, git://github.com/jaredhanson/utils-merge.git
destroy, 1.0.3, 1.0.3, MIT, https://github.com/stream-utils/destroy
redis, 0.12.1, 0.12.1, ----, git://github.com/mranney/node_redis.git
cookie, 0.1.2, 0.1.2, ----, git://github.com/shtylman/node-cookie.git
base64-url, 1.2.1, 1.2.1, ISC, git://github.com/joaquimserafim/base64-url.git
native-or-bluebird, 1.1.2, 1.1.2, MIT, https://github.com/normalize/native-or-bluebird
sax, 0.6.1, 0.6.1, BSD, git://github.com/isaacs/sax-js.git
xmlbuilder, 2.6.2, 2.6.2, MIT, git://github.com/oozcitak/xmlbuilder-js.git
async-each-series, 0.1.1, 0.1.1, MIT, git@github.com:jb55/async-each-series.git
browser-sync-client, 1.0.2, 1.0.2, ----, git://github.com/shakyshane/browser-sync-client.git
browser-sync-ui, 0.5.2, 0.5.6, ----, https://github.com/shakyshane/browser-sync-ui
dev-ip, 1.0.1, 1.0.1, ----, git://github.com/shakyshane/dev-ip.git
easy-extender, 2.3.0, 2.3.0, ----, git://github.com/shakyshane/easy-extender.git
eazy-logger, 2.1.1, 2.1.1, ----, git://github.com/shakyshane/easy-logger.git
emitter-steward, 0.0.1, 0.0.1, MIT, https://github.com/shakyShane/emitter-steward
foxy, 10.1.0, 10.1.1, MIT, https://github.com/shakyShane/foxy
glob-watcher, 0.0.6, 0.0.6, ----, git://github.com/wearefractal/glob-watcher.git
immutable, 3.7.1, 3.7.1, BSD, git://github.com/facebook/immutable-js.git
localtunnel, 1.5.0, 1.5.0, ----, git://github.com/shtylman/localtunnel.git
meow, 3.1.0, 3.1.0, MIT, https://github.com/sindresorhus/meow
opn, 1.0.1, 1.0.1, MIT, https://github.com/sindresorhus/opn
portscanner, 1.0.0, 1.0.0, ----, git://github.com/baalexander/node-portscanner.git
resp-modifier, 2.0.1, 2.0.1, ----, https://github.com/shakyshane/resp-modifier
serve-index, 1.6.3, 1.6.3, MIT, https://github.com/expressjs/serve-index
angular, 1.3.15, 1.3.15, MIT, https://github.com/angular/angular.js.git
angular-route, 1.3.15, 1.3.15, MIT, https://github.com/angular/angular.js.git
angular-sanitize, 1.3.15, 1.3.15, MIT, https://github.com/angular/angular.js.git
angular-touch, 1.3.15, 1.3.15, MIT, https://github.com/angular/angular.js.git
limiter, 1.0.5, 1.0.5, ----, git://github.com/jhurliman/node-rate-limiter
nopt, 3.0.1, 3.0.1, MIT, http://github.com/isaacs/nopt
mkdirp, 0.5.0, 0.5.0, MIT, https://github.com/substack/node-mkdirp.git
abbrev, 1.0.5, 1.0.5, MIT, http://github.com/isaacs/abbrev-js
object-path, 0.9.1, 0.9.1, MIT, git://github.com/mariocasciaro/object-path.git
eventemitter3, 0.1.6, 0.1.6, MIT, git://github.com/primus/EventEmitter3.git
requires-port, 0.0.0, 0.0.0, MIT, https://github.com/unshiftio/requries-port
gaze, 0.5.1, 0.5.1, ----, git://github.com/shama/gaze.git
globule, 0.1.0, 0.1.0, ----, git://github.com/cowboy/node-globule.git
camelcase-keys, 1.0.0, 1.0.0, MIT, https://github.com/sindresorhus/camelcase-keys
indent-string, 1.2.1, 1.2.1, MIT, https://github.com/sindresorhus/indent-string
object-assign, 2.0.0, 2.0.0, MIT, https://github.com/sindresorhus/object-assign
camelcase, 1.0.2, 1.0.2, MIT, https://github.com/sindresorhus/camelcase
map-obj, 1.0.0, 1.0.0, MIT, https://github.com/sindresorhus/map-obj
is-finite, 1.0.0, 1.0.0, MIT, https://github.com/sindresorhus/is-finite
batch, 0.5.2, 0.5.2, ----, https://github.com/visionmedia/batch.git
statuses, 1.2.1, 1.2.1, MIT, https://github.com/jshttp/statuses
engine.io, 1.5.1, 1.5.1, ----, git@github.com:Automattic/engine.io.git
socket.io-parser, 2.2.2, 2.2.2, MIT, https://github.com/Automattic/socket.io-parser.git
socket.io-client, 1.3.5, 1.3.5, MIT, https://github.com/Automattic/socket.io-client.git
socket.io-adapter, 0.3.1, 0.3.1, ----, git://github.com/Automattic/socket.io-adapter.git
ws, 0.4.31, 0.4.31, ----, git://github.com/einaros/ws.git
engine.io-parser, 1.2.1, 1.2.1, ----, git@github.com:LearnBoost/engine.io-parser.git
base64id, 0.1.0, 0.1.0, ----, git://github.com/faeldt/base64id.git
options, 0.0.6, 0.0.6, ----, git://github.com/einaros/options.js.git
ultron, 1.0.1, 1.0.1, MIT, https://github.com/unshiftio/ultron
after, 0.8.1, 0.8.1, ----, git://github.com/Raynos/after.git
arraybuffer.slice, 0.0.6, 0.0.6, ----, git@github.com:rase-/arraybuffer.slice.git
base64-arraybuffer, 0.1.2, 0.1.2, ----, https://github.com/niklasvh/base64-arraybuffer
blob, 0.0.2, 0.0.2, ----, git@github.com:rase-/blob.git
json3, 3.2.6, 3.2.6, ----, git://github.com/bestiejs/json3.git
